problem_link,problem_name,num_occur,difficulty
https://leetcode.com/problems/sort-integers-by-the-power-value/,Sort Integers by The Power Value,2,Medium
https://leetcode.com/problems/fixed-point/,Fixed Point,2,Easy
https://leetcode.com/problems/max-area-of-island/,Max Area of Island,4,Medium 
https://leetcode.com/problems/first-unique-character-in-a-string/,First Unique Character in a String,3,Easy
https://leetcode.com/problems/summary-ranges/,Summary Ranges,2,Medium
https://leetcode.com/problems/number-of-islands/,Number of Islands,3,Medium
https://leetcode.com/problems/binary-tree-right-side-view/,Binary Tree Right Side View,4,Medium 
https://leetcode.com/problems/word-break/,Word Break,7,Medium
https://leetcode.com/problems/longest-consecutive-sequence/,Longest Consecutive Sequence,2,Hard
https://leetcode.com/problems/word-ladder/,Word Ladder,6,Hard
https://leetcode.com/problems/validate-binary-search-tree/,Validate Binary Search Tree,2,Medium 
https://leetcode.com/problems/unique-paths-ii/,Unique Paths II,4,Medium                                                                        
https://leetcode.com/problems/jump-game/,Jump Game,2,Medium                                                                        
https://leetcode.com/problems/trapping-rain-water/,Trapping Rain Water,4,Hard                                                                          
https://leetcode.com/problems/3sum/,3Sum,5,Medium
