problem_link,problem_name,num_occur,difficulty
https://leetcode.com/problems/time-needed-to-buy-tickets/,Time Needed to Buy Tickets,2,Easy                                                                          
https://leetcode.com/problems/finding-the-users-active-minutes/,Finding the Users Active Minutes,10,Medium                                                                        
https://leetcode.com/problems/design-authentication-manager/,Design Authentication Manager,1,Medium                                                                        
https://leetcode.com/problems/minimum-elements-to-add-to-form-a-given-sum/,Minimum Elements to Add to Form a Given Sum,1,Medium                                                                        
https://leetcode.com/problems/tweet-counts-per-frequency/,Tweet Counts Per Frequency,6,Medium
https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram/,Minimum Number of Steps to Make Two Strings Anagram,2,Easy
https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/,Minimum Add to Make Parentheses Valid,2,Medium
https://leetcode.com/problems/maximum-frequency-stack/,Maximum Frequency Stack,2,Hard
https://leetcode.com/problems/binary-gap/,Binary Gap,eBay,Easy
https://leetcode.com/problems/accounts-merge/,Accounts Merge,3,Medium 
https://leetcode.com/problems/palindromic-substrings/,Palindromic Substrings,2,Medium 
https://leetcode.com/problems/design-search-autocomplete-system/,Design Search Autocomplete System,2,Hard 
https://leetcode.com/problems/design-log-storage-system/,Design Log Storage System,5,Medium 
https://leetcode.com/problems/random-pick-with-weight/,Random Pick with Weight,2,Medium 
https://leetcode.com/problems/minimum-moves-to-equal-array-elements/,Minimum Moves to Equal Array Elements,3,Easy
https://leetcode.com/problems/insert-delete-getrandom-o1/,Insert Delete GetRandom O(1),5,Medium
https://leetcode.com/problems/design-hit-counter/,Design Hit Counter,7,Medium
https://leetcode.com/problems/rearrange-string-k-distance-apart/,Rearrange String k Distance Apart,3,Hard
https://leetcode.com/problems/flatten-nested-list-iterator/,Flatten Nested List Iterator,3,Medium
https://leetcode.com/problems/reconstruct-itinerary/,Reconstruct Itinerary,4,Medium
https://leetcode.com/problems/paint-house/,Paint House,4,Medium
https://leetcode.com/problems/word-search-ii/,Word Search II,5,Hard 
https://leetcode.com/problems/implement-trie-prefix-tree/,Implement Trie,6,Medium
https://leetcode.com/problems/binary-tree-maximum-path-sum/,Binary Tree Maximum Path Sum,2,Hard 
https://leetcode.com/problems/word-search/,Word Search,23,Medium 
https://leetcode.com/problems/subsets/,Subsets,3,Medium                                                                        
https://leetcode.com/problems/merge-intervals/,Merge Intervals,3,Medium                                                                        
