problem_link,problem_name,num_occur,difficulty
https://leetcode.com/problems/minimum-moves-to-reach-target-score/,Minimum Moves to Reach Target Score,1,Medium                                                                        
https://leetcode.com/problems/delete-characters-to-make-fancy-string/,Delete Characters to Make Fancy String,1,Easy                                                                          
https://leetcode.com/problems/the-number-of-full-rounds-you-have-played/,The Number of Full Rounds You Have Played,4,Medium                                                                        
https://leetcode.com/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period/,Alert Using Same Key-Card Three or More Times in a One Hour Period,5,Medium                                                                        
https://leetcode.com/problems/subdomain-visit-count/,Subdomain Visit Count,9,Easy
https://leetcode.com/problems/max-chunks-to-make-sorted/,Max Chunks To Make Sorted,2,Medium
https://leetcode.com/problems/maximum-length-of-repeated-subarray/,Maximum Length of Repeated Subarray,7,Medium 
https://leetcode.com/problems/add-strings/,Add Strings,20,Easy
https://leetcode.com/problems/course-schedule-ii/,Course Schedule II,4,Medium
https://leetcode.com/problems/valid-palindrome/,Valid Palindrome,2,Easy
https://leetcode.com/problems/valid-sudoku/,Valid Sudoku,3,Medium                                                                        
