problem_link,problem_name,num_occur,difficulty
https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element/,Longest Subarray of 1's After Deleting One Element,3,Medium
https://leetcode.com/problems/number-of-students-doing-homework-at-a-given-time/,Number of Students Doing Homework at a Given Time,2,Easy
https://leetcode.com/problems/number-of-recent-calls/,Number of Recent Calls,3,Easy
https://leetcode.com/problems/maximize-distance-to-closest-person/,Maximize Distance to Closest Person,8,Easy
https://leetcode.com/problems/max-stack/,Max Stack,3,Hard
https://leetcode.com/problems/permutation-in-string/,Permutation in String,4,Medium 
https://leetcode.com/problems/reverse-words-in-a-string-iii/,Reverse Words in a String III,2,Easy 
https://leetcode.com/problems/string-compression/,String Compression,3,Easy 
https://leetcode.com/problems/is-subsequence/,Is Subsequence,3,Medium
https://leetcode.com/problems/line-reflection/,Line Reflection,2,Medium
https://leetcode.com/problems/move-zeroes/,Move Zeroes,6,Easy
https://leetcode.com/problems/zigzag-iterator/,Zigzag Iterator,6,Medium
https://leetcode.com/problems/summary-ranges/,Summary Ranges,6,Medium
https://leetcode.com/problems/reverse-linked-list/,Reverse Linked List,3,Easy 
https://leetcode.com/problems/evaluate-reverse-polish-notation/,Evaluate Reverse Polish Notation,2,Medium
https://leetcode.com/problems/valid-palindrome/,Valid Palindrome,2,Easy
https://leetcode.com/problems/merge-intervals/,Merge Intervals,4,Medium                                                                        
https://leetcode.com/problems/merge-k-sorted-lists/,Merge k Sorted Lists,3,Hard
https://leetcode.com/problems/valid-parentheses/,Valid Parentheses,3,Easy
https://leetcode.com/problems/median-of-two-sorted-arrays/,Median of Two Sorted Arrays,2,Hard 
https://leetcode.com/problems/longest-substring-without-repeating-characters/,Longest Substring Without Repeating Characters,2,Medium 
