problem_link,problem_name,num_occur,difficulty
https://leetcode.com/problems/plates-between-candles/,Plates Between Candles,3,Medium                                                                        
https://leetcode.com/problems/the-number-of-weak-characters-in-the-game/,The Number of Weak Characters in the Game,3,Medium                                                                        
https://leetcode.com/problems/minimum-time-to-type-word-using-special-typewriter/,Minimum Time to Type Word Using Special Typewriter,3,Easy                                                                          
https://leetcode.com/problems/incremental-memory-leak/,Incremental Memory Leak,1,Medium                                                                        
https://leetcode.com/problems/closest-dessert-cost/,Closest Dessert Cost,2,Medium                                                                        
https://leetcode.com/problems/kth-missing-positive-number/,Kth Missing Positive Number,3,Easy
https://leetcode.com/problems/reformat-date/,Reformat Date,10,Easy
https://leetcode.com/problems/design-a-stack-with-increment-operation/,Design a Stack With Increment Operation,13,Medium
https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram/,Minimum Number of Steps to Make Two Strings Anagram,2,Easy
https://leetcode.com/problems/jump-game-iv/,Jump Game IV,2,Hard
https://leetcode.com/problems/path-with-maximum-gold/,Path with Maximum Gold,2,Medium
https://leetcode.com/problems/time-based-key-value-store/,Time Based Key-Value Store,3,Medium
https://leetcode.com/problems/validate-stack-sequences/,Validate Stack Sequences,2,Medium
https://leetcode.com/problems/score-of-parentheses/,Score of Parentheses,2,Medium
https://leetcode.com/problems/backspace-string-compare/,Backspace String Compare,2,Easy
https://leetcode.com/problems/custom-sort-string/,Custom Sort String,2,Medium
https://leetcode.com/problems/asteroid-collision/,Asteroid Collision,5,Medium 
https://leetcode.com/problems/maximum-swap/,Maximum Swap,8,Medium 
https://leetcode.com/problems/find-k-closest-elements/,Find K Closest Elements,4,Medium 
https://leetcode.com/problems/subarray-sum-equals-k/,Subarray Sum Equals K,5,Medium                                                                        
https://leetcode.com/problems/continuous-subarray-sum/,Continuous Subarray Sum,2,Medium
https://leetcode.com/problems/max-consecutive-ones-ii/,Max Consecutive Ones II,3,Medium
https://leetcode.com/problems/path-sum-iii/,Path Sum III,4,Easy
https://leetcode.com/problems/split-array-largest-sum/,Split Array Largest Sum,6,Hard
https://leetcode.com/problems/frog-jump/,Frog Jump,2,Hard
https://leetcode.com/problems/evaluate-division/,Evaluate Division,4,Medium
https://leetcode.com/problems/decode-string/,Decode String,5,Medium
https://leetcode.com/problems/russian-doll-envelopes/,Russian Doll Envelopes,2,Hard
https://leetcode.com/problems/design-snake-game/,Design Snake Game,3,Medium
https://leetcode.com/problems/odd-even-linked-list/,Odd Even Linked List,2,Medium
https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Serialize and Deserialize Binary Tree,4,Hard
https://leetcode.com/problems/walls-and-gates/,Walls and Gates,5,Medium
https://leetcode.com/problems/move-zeroes/,Move Zeroes,2,Easy
https://leetcode.com/problems/sliding-window-maximum/,Sliding Window Maximum,3,Hard
https://leetcode.com/problems/count-complete-tree-nodes/,Count Complete Tree Nodes,4,Medium
https://leetcode.com/problems/kth-largest-element-in-an-array/,Kth Largest Element in an Array,3,Medium
https://leetcode.com/problems/course-schedule-ii/,Course Schedule II,2,Medium
https://leetcode.com/problems/course-schedule/,Course Schedule,7,Medium
https://leetcode.com/problems/count-primes/,Count Primes,2,Easy 
https://leetcode.com/problems/number-of-islands/,Number of Islands,6,Medium
https://leetcode.com/problems/intersection-of-two-linked-lists/,Intersection of Two Linked Lists,3,Easy
https://leetcode.com/problems/lru-cache/,LRU Cache,6,Hard
https://leetcode.com/problems/gas-station/,Gas Station,5,Medium
https://leetcode.com/problems/palindrome-partitioning/,Palindrome Partitioning,3,Medium
https://leetcode.com/problems/surrounded-regions/,Surrounded Regions,2,Medium
https://leetcode.com/problems/binary-tree-maximum-path-sum/,Binary Tree Maximum Path Sum,6,Hard 
https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Best Time to Buy and Sell Stock,2,Easy
https://leetcode.com/problems/validate-binary-search-tree/,Validate Binary Search Tree,2,Medium 
https://leetcode.com/problems/restore-ip-addresses/,Restore IP Addresses,3,Medium 
https://leetcode.com/problems/spiral-matrix-ii/,Spiral Matrix II,6,Medium
https://leetcode.com/problems/merge-intervals/,Merge Intervals,2,Medium                                                                        
https://leetcode.com/problems/n-queens/,N-Queens,2,Hard                                                                          
https://leetcode.com/problems/group-anagrams/,Group Anagrams,2,Medium                                                                        
https://leetcode.com/problems/jump-game-ii/,Jump Game II,3,Hard                                                                          
https://leetcode.com/problems/sudoku-solver/,Sudoku Solver,3,Hard                                                                          
https://leetcode.com/problems/search-insert-position/,Search Insert Position,2,Easy                                                                          
https://leetcode.com/problems/search-in-rotated-sorted-array/,Search in Rotated Sorted Array,4,Medium                                                                        
https://leetcode.com/problems/merge-k-sorted-lists/,Merge k Sorted Lists,2,Hard
https://leetcode.com/problems/valid-parentheses/,Valid Parentheses,3,Easy
https://leetcode.com/problems/3sum/,3Sum,4,Medium
https://leetcode.com/problems/roman-to-integer,Roman to Integer,5,Easy 
https://leetcode.com/problems/integer-to-roman/,Integer to Roman,2,Medium                                                                        
